
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
2026-07-11T15:07:46.734+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'processRouteMapper' and 'com.upc.computer.mapper.ProcessRouteMapper' mapperInterface
2026-07-11T15:07:46.735+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'processRouteMapper'.
2026-07-11T15:07:46.736+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'processStepMapper' and 'com.upc.computer.mapper.ProcessStepMapper' mapperInterface
2026-07-11T15:07:46.737+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'processStepMapper'.
2026-07-11T15:07:46.737+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'prodDowntimeReasonMapper' and 'com.upc.computer.mapper.ProdDowntimeReasonMapper' mapperInterface
2026-07-11T15:07:46.738+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'prodDowntimeReasonMapper'.
2026-07-11T15:07:46.739+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'prodHourlyMetricMapper' and 'com.upc.computer.mapper.ProdHourlyMetricMapper' mapperInterface
2026-07-11T15:07:46.742+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'prodHourlyMetricMapper'.
2026-07-11T15:07:46.742+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'prodLineStationMapper' and 'com.upc.computer.mapper.ProdLineStationMapper' mapperInterface
2026-07-11T15:07:46.743+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'prodLineStationMapper'.
